surface,kind,name,client_source,mvp,status,phase,notes
REST,GET,/info,compose healthcheck + ops,yes,done,0,JSON documented in compat.md
REST,GET,/health/live,k8s/compose,yes,done,0,process liveness
REST,GET,/health/ready,k8s/compose,yes,done,0,memory=skipped postgres; ping when MOSAIC_PERSISTENCE=postgres
REST,GET,/metrics,ops,yes,done,0,Prometheus; sync_* placeholders
GraphQL,query,serverConfig,packages/common/graphql/src/graphql/server-config.gql,yes,done,1,version is MOSAIC_COMPAT_VERSION (>= 0.27.0)
GraphQL,query,oauthProviders,packages/common/graphql/src/graphql/get-oauth-providers.gql,yes,done,6,serverConfig.oauthProviders=OAuthProviderType[]; OAuth feature when OIDC configured
GraphQL,query,appConfig,packages/common/graphql/src/graphql/admin/config.gql,yes,stub,1,admin; safe {}
GraphQL,query,getCurrentUser,packages/common/graphql/src/graphql/get-current-user.gql,yes,done,1,null when logged out
GraphQL,query,getWorkspaces,packages/common/graphql/src/graphql/get-workspaces.gql,yes,done,1,empty list when logged out
GraphQL,mutation,createWorkspace,packages/common/graphql/src/graphql/create-workspace.gql,yes,done,1,auth required; owner membership
GraphQL,query,getWorkspace,packages/common/graphql/src/graphql/get-workspace.gql,yes,done,1,ACL: member only
GraphQL,query,getInviteInfo,packages/common/graphql/src/graphql/get-invite-info.gql,yes,done,4,email invite or invite-link token; INVALID_INVITATION / INVITATION_ACCOUNT_MISMATCH
GraphQL,mutation,acceptInviteByInviteId,packages/common/graphql/src/graphql/workspace-invite-accept-by-invite-id.gql,yes,done,4,acceptInviteById; no SMTP
GraphQL,mutation,inviteByEmails,packages/common/graphql/src/graphql/workspace-intive-by-emails.gql,yes,done,4,inviteMembers; admin/owner; no seat lock
GraphQL,mutation,revokeMemberPermission,packages/common/graphql/src/graphql/revoke-member-permission.gql,yes,done,4,revokeMember
GraphQL,mutation,createInviteLink,packages/common/graphql/src/graphql/workspace-invite-link.gql,optional,done,4,{baseUrl}/invite/{token}
GraphQL,mutation,revokeInviteLink,packages/common/graphql/src/graphql/workspace-invite-revoke-link.gql,optional,done,4,
GraphQL,mutation,grantMember,packages/common/graphql/src/graphql/workspace-team-grant.gql,optional,done,4,Admin/Collaborator; owner transfer denied
GraphQL,mutation,approveMember,packages/common/graphql/src/graphql/workspace-team-approve.gql,optional,done,4,no seat review in Mosaic
GraphQL,mutation,publishPage,packages/common/graphql/src/graphql/public-page.gql,optional,done,4,publishDoc
GraphQL,mutation,revokePublicPage,packages/common/graphql/src/graphql/revoke-public-page.gql,optional,done,4,revokePublicDoc
GraphQL,mutation,leaveWorkspace,packages/common/graphql/src/graphql/leave-workspace.gql,yes,done,4,owner cannot leave
GraphQL,mutation,deleteWorkspace,packages/common/graphql/src/graphql/delete-workspace.gql,yes,done,1,owner only
GraphQL,mutation,createBlobUpload,packages/common/graphql/src/graphql/blob-upload-create.gql,yes,done,3,PRESIGNED or MULTIPART; alreadyUploaded short-circuit
GraphQL,mutation,completeBlobUpload,packages/common/graphql/src/graphql/blob-upload-complete.gql,yes,done,3,returns blob key
GraphQL,mutation,abortBlobUpload,packages/common/graphql/src/graphql/blob-upload-abort.gql,yes,done,3,
GraphQL,query,getBlobUploadPartUrl,packages/common/graphql/src/graphql/blob-upload-part-url.gql,yes,done,3,self-issued PUT URL + ETag
GraphQL,mutation,setBlob,packages/common/graphql/src/graphql/blob-set.gql,yes,done,3,GraphQL multipart fallback
GraphQL,query,listBlobs,packages/common/graphql/src/graphql/blob-list.gql,yes,done,3,
GraphQL,mutation,deleteBlob,packages/common/graphql/src/graphql/blob-delete.gql,yes,done,3,soft-delete unless permanently
